ItemID,Sentiment,Tokenized
1,0,sad friend
2,0,miss new moon trailer
3,1,already
4,0,cry dentist since get crown put
5,0,think mi cheating
6,0,worry much
7,1,
8,0,sunny work tomorrow tonight
9,1,handed uniform today miss already
10,1,wonder number
11,0,must think positive
12,1,thanks hater face day
13,0,weekend suck far
14,0,showing
15,0,thats win
16,0,way feel right
17,0,man completely useless funny twitter
18,1,feeling strangely fine go listen celebrate
19,0,huge roll thunder scary
20,0,cut beard growing well year start happy
21,0,sad
22,0,
23,1,one see cause one else following pretty awesome
24,0,sad level writing massive tweet shut lost lay fetal position
25,0,headed pull golf place think something yeah
26,0,boring whats wrong please tell
27,0,bother wish could spend rest life sat going gig seriously
28,0,like right really want sleep hour dancing art assignment finish
29,1,exam hello alcohol tonight
30,0,realize deep give girl warning
31,0,hate athlete appear tear live television
32,0,miss guy think wearing skinny jeans cute sweater heel really sure today
33,0,meet meat
34,0,moving morning
35,0,sat need work days week
36,0,really dont like room boring sick wardrobe cant till walk one
37,0,great reliever need scolding
38,0,times like million
39,1,picture
40,0,type virus brother forever
41,0,babe
42,1,wrote something last week got call someone new york office
43,0,enough said
44,1,need even say well go anyways cornel tonight
45,1,health class joke
46,1,go show tonight
47,0,really make sad look reality
48,0,time low shall motivation rest week
49,0,entertainment someone complain properly experimental say experiment melody
50,0,another year laker neither magic fun
51,0,day
52,1,bathroom clean enjoyable task
53,1,boom boom pow
54,0,
55,0,helio though
56,0,must five days end palatine tonsil probably never see concert
57,0,friend leaving cause stupid love
58,1,go give ur hug right
59,1,going see harry happiness
60,0,hand quilting
61,0,hate u
62,1,always get want
63,1,bend backwards
64,1,get work miss seen
65,1,hate allergy get hair cut tomorrow taking public poll
66,0,love guy much hurt
67,0,miss earl
68,0,miss new jersey
69,0,miss first hour last night find
70,0,need fix
71,0,never thought become second choice
72,0,think may friendly well
73,0,think basil plant days live
74,0,home church wonder
75,0,make pizza
76,0,want inch new guitar generous x
77,0,want hug
78,0,want tour
79,0,want sleep morning mean stick head wish could fly away like squirrel
80,0,slow get
81,0,send sunshine northern going swimming today
82,0,wish could go beach would great see
83,0,would much happier wall bedroom painted white
84,0,wat trust sorry da pain take dis time straighten
85,0,finding intercept slope banging head wall math brain head come save
86,1,really going bed
87,0,sick cough cough
88,0,cab headed airport going home
89,0,case feel camp feeling wee bit bring human right watch world report hope work
90,1,twitter
91,0,day almost
92,0,got funeral sad cried much times much love grandpa never got say last
93,1,smile sure could want
94,1,got home got see friend seen since graduated make happy
95,0,night ever ugh
96,0,mi let go game
97,0,say get new phone immediately paying
98,0,new car stolen mother want go pose church
99,0,girl hope
100,0,movie times rat plan tomorrow guess mean work two present
101,0,tonight
102,0,cool night
103,1,oh thank
104,1,
105,0,probably guna get soon since one
106,0,really want pull win lose like
107,0,rip
108,1,rose back special damn half year away
109,0,neighbor need watch mean girl
110,0,whats status next weekend
111,0,sorry ex husband daily dose
112,0,thanks definition editor review entry decided publish
113,1,thanks need help get
114,1,explain
115,1,going heather sequel better
116,0,told drink w gave b b porter stout brought home neighbor v v sad
117,1,tra sweet bought new baith suit wove
118,1,true highly subjective actually favorite character book got
119,0,u guy
120,0,much
121,0,getting sad miss hub
122,0,standing pouring rain sitting top world summer suck
123,0,went get dog vet stitch ear us still bleed like waterfall move
124,0,picture feel naked
125,0,train going go concert
126,0,must people picky mean hour work dice
127,0,twitter soon become obsolete
128,1,wide awake
129,1,yeah awful weather last week stink said take us
130,0,hi stranger hello frank fine stranger gay
131,0,always one
132,0,suck
133,0,panel guess back normal life
134,1,start
135,0,brighten bad day never win anything
136,0,didnt win well diversity good though
137,0,
138,1,believe enough
139,1,
140,0,graduate
141,0,paint swastika home author gay church story daily news
142,0,unknown error occur oh os fail far
143,0,expert homer predict eagle go giant go b
144,1,know hungry let go outside balcony eat
145,0,want bad driving mad
146,1,men female entrepreneur know starting growing business next woman
147,1,truth hide eye decode
148,0,try turn get head got feeling inside admit literally feel
149,0,well truth miss
150,0,tear today last day go summer break dad tomorrow sigh
151,0,unsure annoy
152,0,via designed gallery exhibition mailer going extinct via
153,0,
154,0,cry going miss harry potter comes leaving going cry
155,1,say shut put money mouth reality cheer twitter world
156,1,sigh cant love someone love back like stalker status get divorce move trinity
157,0,going back bed around see reason awake little
158,1,tri chaise love much
159,1,even chaise die laughter
160,0,
